Unnamed: 0,Instruction,Response,text
57,Quelle est la perspective du rating BB ?,La perspective du rating BB est stable.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la perspective du rating BB ?
 ## Reponse : 
La perspective du rating BB est stable."
58,Quelle est la perspective du rating BA1+ ?,La perspective du rating BA1+ n'est pas mentionnée dans le contexte.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la perspective du rating BA1+ ?
 ## Reponse : 
La perspective du rating BA1+ n'est pas mentionnée dans le contexte."
59,Quelle est la grille technique de construction du logotype BANK OF AFRICA ?,La grille technique de construction du logotype BANK OF AFRICA n'est pas mentionnée dans le contexte.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la grille technique de construction du logotype BANK OF AFRICA ?
 ## Reponse : 
La grille technique de construction du logotype BANK OF AFRICA n'est pas mentionnée dans le contexte."
60,Dans quels supports publicitaires le logotype BANK OF AFRICA sera-t-il utilisé ?,Le logotype BANK OF AFRICA sera utilisé pour toutes les prises de paroles dans des supports publicitaires français et anglais.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Dans quels supports publicitaires le logotype BANK OF AFRICA sera-t-il utilisé ?
 ## Reponse : 
Le logotype BANK OF AFRICA sera utilisé pour toutes les prises de paroles dans des supports publicitaires français et anglais."
61,Quelle est la référence de la charte graphique BANK OF AFRICA ?,La référence de la charte graphique BANK OF AFRICA est 202005xx/2 x/2.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la référence de la charte graphique BANK OF AFRICA ?
 ## Reponse : 
La référence de la charte graphique BANK OF AFRICA est 202005xx/2 x/2."
62,Quelle est la position de BANK OF AFRICA en tant que groupe bancaire et financier en Afrique ?,BANK OF AFRICA est l'un des principaux groupes bancaires et financiers en Afrique.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la position de BANK OF AFRICA en tant que groupe bancaire et financier en Afrique ?
 ## Reponse : 
BANK OF AFRICA est l'un des principaux groupes bancaires et financiers en Afrique."
63,"Quelle est la distinction reçue par BANK OF AFRICA en tant que ""Best Bank in Morocco"" en 2021 ?","BANK OF AFRICA a été désignée comme ""Best Bank in Morocco 2021"" par le prestigieux magazine américain Global Finance.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la distinction reçue par BANK OF AFRICA en tant que ""Best Bank in Morocco"" en 2021 ?
 ## Reponse : 
BANK OF AFRICA a été désignée comme ""Best Bank in Morocco 2021"" par le prestigieux magazine américain Global Finance."
64,Quelle est la principale richesse de BANK OF AFRICA ?,La principale richesse de BANK OF AFRICA est la diversité de ses collaborateurs à travers ses 32 pays de présence. Ses ressources humaines sont garantes de son engagement auprès de ses clients et partenaires.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la principale richesse de BANK OF AFRICA ?
 ## Reponse : 
La principale richesse de BANK OF AFRICA est la diversité de ses collaborateurs à travers ses 32 pays de présence. Ses ressources humaines sont garantes de son engagement auprès de ses clients et partenaires."
65,Quel est le réseau international de BANK OF AFRICA ?,"BANK OF AFRICA dispose d'un réseau international dense, qui offre aux entreprises, aux institutions et aux individus des services bancaires et financiers à travers le monde, avec 2000 points de vente.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quel est le réseau international de BANK OF AFRICA ?
 ## Reponse : 
BANK OF AFRICA dispose d'un réseau international dense, qui offre aux entreprises, aux institutions et aux individus des services bancaires et financiers à travers le monde, avec 2000 points de vente."
66,Quel est le modèle économique de BANK OF AFRICA ?,"BANK OF AFRICA a développé un modèle économique orienté vers la création et le partage de valeur, en capitalisant sur son positionnement de banque responsable, inspirée par une vision orientée vers le développement durable du continent.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quel est le modèle économique de BANK OF AFRICA ?
 ## Reponse : 
BANK OF AFRICA a développé un modèle économique orienté vers la création et le partage de valeur, en capitalisant sur son positionnement de banque responsable, inspirée par une vision orientée vers le développement durable du continent."
67,Quelle est la vision de BANK OF AFRICA ?,"La vision de BANK OF AFRICA est de devenir un groupe panafricain, présent dans plus de 25 pays, créateur de valeur, leader en termes de responsabilité sociale et environnementale (RSE), outil d'une finance à impact pour les échanges et les investissements dans le Continent et au service des Africains du monde.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la vision de BANK OF AFRICA ?
 ## Reponse : 
La vision de BANK OF AFRICA est de devenir un groupe panafricain, présent dans plus de 25 pays, créateur de valeur, leader en termes de responsabilité sociale et environnementale (RSE), outil d'une finance à impact pour les échanges et les investissements dans le Continent et au service des Africains du monde."
68,Quels sont les axes sur lesquels BANK OF AFRICA s'appuie pour accompagner le développement du continent ?,"BANK OF AFRICA s'appuie sur six axes pour accompagner le développement du continent : l'amélioration de l'efficacité opérationnelle, le renforcement des dispositifs de gestion des risques et de recouvrement, l'accélération de la banque digitale, le maintien d'une dynamique de développement durable, la redynamisation du retail et corporate banking, et le développement de nouveaux relais de croissance.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les axes sur lesquels BANK OF AFRICA s'appuie pour accompagner le développement du continent ?
 ## Reponse : 
BANK OF AFRICA s'appuie sur six axes pour accompagner le développement du continent : l'amélioration de l'efficacité opérationnelle, le renforcement des dispositifs de gestion des risques et de recouvrement, l'accélération de la banque digitale, le maintien d'une dynamique de développement durable, la redynamisation du retail et corporate banking, et le développement de nouveaux relais de croissance."
69,Quels sont les deux leviers stratégiques de BANK OF AFRICA ?,"Les deux leviers stratégiques de BANK OF AFRICA sont la centricité client et la digitalisation, ainsi que la finance à impact.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les deux leviers stratégiques de BANK OF AFRICA ?
 ## Reponse : 
Les deux leviers stratégiques de BANK OF AFRICA sont la centricité client et la digitalisation, ainsi que la finance à impact."
70,Quelles sont les activités de BANK OF AFRICA ?,"Les activités de BANK OF AFRICA comprennent le retail & corporate banking, les activités de banque d'affaires et les services financiers spécialisés.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelles sont les activités de BANK OF AFRICA ?
 ## Reponse : 
Les activités de BANK OF AFRICA comprennent le retail & corporate banking, les activités de banque d'affaires et les services financiers spécialisés."
71,Quels sont les types d'actionnaires présents dans l'actionnariat de BANK OF AFRICA ?,"L'actionnariat de BANK OF AFRICA est composé d'un panorama d'investisseurs et d'actionnaires de premier plan, qui sont convaincus par la pertinence de ses choix stratégiques et par sa trajectoire de développement. Il comprend des actionnaires reconnus mondialement, des investisseurs institutionnels nationaux et l'actionnaire de référence O Capital Group.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les types d'actionnaires présents dans l'actionnariat de BANK OF AFRICA ?
 ## Reponse : 
L'actionnariat de BANK OF AFRICA est composé d'un panorama d'investisseurs et d'actionnaires de premier plan, qui sont convaincus par la pertinence de ses choix stratégiques et par sa trajectoire de développement. Il comprend des actionnaires reconnus mondialement, des investisseurs institutionnels nationaux et l'actionnaire de référence O Capital Group."
72,Quelle est la mission de RMA ?,"La mission de RMA est d'être un acteur solide et ambitieux, et une compagnie d'assurances leader en Afrique du Nord, s'appuyant sur un réseau de proximité et une innovation permanente.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la mission de RMA ?
 ## Reponse : 
La mission de RMA est d'être un acteur solide et ambitieux, et une compagnie d'assurances leader en Afrique du Nord, s'appuyant sur un réseau de proximité et une innovation permanente."
73,Quelle est la mission du Groupe CDG ?,La mission du Groupe CDG est d'investir et de soutenir des projets d'envergure pour renforcer le développement économique et les infrastructures du Maroc en tant qu'institution publique marocaine.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la mission du Groupe CDG ?
 ## Reponse : 
La mission du Groupe CDG est d'investir et de soutenir des projets d'envergure pour renforcer le développement économique et les infrastructures du Maroc en tant qu'institution publique marocaine."
74,Qu'est-ce que O Capital Group ?,O Capital Group est un Holding industriel et financier marocain de premier plan opérant dans différents domaines d'activités à fort potentiel de croissance. Il est né de la fusion par absorption de FinanceCom par le Holding Benjelloun Mezian en 2021.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Qu'est-ce que O Capital Group ?
 ## Reponse : 
O Capital Group est un Holding industriel et financier marocain de premier plan opérant dans différents domaines d'activités à fort potentiel de croissance. Il est né de la fusion par absorption de FinanceCom par le Holding Benjelloun Mezian en 2021."
75,Quelles sont les activités du Groupe Crédit Mutuel-Alliance Fédérale ?,"Le Groupe Crédit Mutuel-Alliance Fédérale est un groupe bancaire de premier plan implanté en France et à l'international. Il regroupe des activités de banque de détail, de bancassurance et de monétique. Ses filiales couvrent les domaines de la bancassurance, des services financiers spécialisés tels que le crédit consommation et le crédit-bail, de la monétique et de l'informatique.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelles sont les activités du Groupe Crédit Mutuel-Alliance Fédérale ?
 ## Reponse : 
Le Groupe Crédit Mutuel-Alliance Fédérale est un groupe bancaire de premier plan implanté en France et à l'international. Il regroupe des activités de banque de détail, de bancassurance et de monétique. Ses filiales couvrent les domaines de la bancassurance, des services financiers spécialisés tels que le crédit consommation et le crédit-bail, de la monétique et de l'informatique."
76,Qu'est-ce que British International Investment ?,"British International Investment, également connue sous le nom de CDC Group PLC, est l'institution de financement du développement et d'investissement à impact du Royaume-Uni. Elle promeut le développement durable en matière économique, sociale et environnementale dans ses pays d'implantation en investissant des capitaux pour soutenir la croissance et l'innovation du secteur privé.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Qu'est-ce que British International Investment ?
 ## Reponse : 
British International Investment, également connue sous le nom de CDC Group PLC, est l'institution de financement du développement et d'investissement à impact du Royaume-Uni. Elle promeut le développement durable en matière économique, sociale et environnementale dans ses pays d'implantation en investissant des capitaux pour soutenir la croissance et l'innovation du secteur privé."
77,Quels sont les actionnaires principaux de Bank of Africa ?,"Les actionnaires principaux de Bank of Africa sont MAMDA/MCMA, Groupe CDG, RMA, O Capital Group, SFCM, British International Investment, CIMR, Banque Fédérative du Crédit Mutuel, le personnel de Bank of Africa et le flottant. Leur répartition du capital au 31 décembre 2021 est indiquée dans le tableau fourni.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les actionnaires principaux de Bank of Africa ?
 ## Reponse : 
Les actionnaires principaux de Bank of Africa sont MAMDA/MCMA, Groupe CDG, RMA, O Capital Group, SFCM, British International Investment, CIMR, Banque Fédérative du Crédit Mutuel, le personnel de Bank of Africa et le flottant. Leur répartition du capital au 31 décembre 2021 est indiquée dans le tableau fourni."
78,Quels sont les projets structurants réalisés par O Capital Group au Maroc ?,"O Capital Group a réalisé plusieurs projets structurants au Maroc, tels que le Port Tanger Med, l'introduction du premier opérateur privé de téléphonie mobile, le développement de la Cité Industrielle Mohammed VI Tangier Tech et la construction de la Tour Mohammed VI à Rabat.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les projets structurants réalisés par O Capital Group au Maroc ?
 ## Reponse : 
O Capital Group a réalisé plusieurs projets structurants au Maroc, tels que le Port Tanger Med, l'introduction du premier opérateur privé de téléphonie mobile, le développement de la Cité Industrielle Mohammed VI Tangier Tech et la construction de la Tour Mohammed VI à Rabat."
79,Quelle est la société leader des secteurs de transport de voyageurs et de messagerie au Maroc ?,La société leader des secteurs de transport de voyageurs et de messagerie au Maroc est CTM.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la société leader des secteurs de transport de voyageurs et de messagerie au Maroc ?
 ## Reponse : 
La société leader des secteurs de transport de voyageurs et de messagerie au Maroc est CTM."
80,Quels sont les engagements de BANK OF AFRICA en matière de développement durable et de protection de l'environnement ?,"Les engagements de BANK OF AFRICA en matière de développement durable et de protection de l'environnement ont été marqués par la création de la Fondation BMCE BANK en 1995 et la signature de la déclaration des institutions financières sur l'environnement et le développement durable du PNUE en 2000. Ces engagements se matérialisent par la définition d'une stratégie de développement durable comprenant 6 axes et engagements stratégiques. Cette stratégie couvre non seulement les activités de BANK OF AFRICA, mais également celles de certaines de ses filiales au Maroc et à l'international.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les engagements de BANK OF AFRICA en matière de développement durable et de protection de l'environnement ?
 ## Reponse : 
Les engagements de BANK OF AFRICA en matière de développement durable et de protection de l'environnement ont été marqués par la création de la Fondation BMCE BANK en 1995 et la signature de la déclaration des institutions financières sur l'environnement et le développement durable du PNUE en 2000. Ces engagements se matérialisent par la définition d'une stratégie de développement durable comprenant 6 axes et engagements stratégiques. Cette stratégie couvre non seulement les activités de BANK OF AFRICA, mais également celles de certaines de ses filiales au Maroc et à l'international."
81,Quelles sont les actions entreprises par Bank of Africa pour atténuer son empreinte environnementale liée aux activités quotidiennes ?,"Bank of Africa met en place plusieurs actions pour atténuer son empreinte environnementale liée aux activités quotidiennes. Cela inclut la promotion de la construction durable, le développement de la culture et du comportement durables, ainsi que la diversité et l'égalité des chances entre les femmes et les hommes. De plus, Bank of Africa s'engage à réduire sa consommation d'énergie, d'eau et ses émissions de gaz à effet de serre. Ces mesures visent à protéger l'environnement et à promouvoir un modèle d'affaires plus durable.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelles sont les actions entreprises par Bank of Africa pour atténuer son empreinte environnementale liée aux activités quotidiennes ?
 ## Reponse : 
Bank of Africa met en place plusieurs actions pour atténuer son empreinte environnementale liée aux activités quotidiennes. Cela inclut la promotion de la construction durable, le développement de la culture et du comportement durables, ainsi que la diversité et l'égalité des chances entre les femmes et les hommes. De plus, Bank of Africa s'engage à réduire sa consommation d'énergie, d'eau et ses émissions de gaz à effet de serre. Ces mesures visent à protéger l'environnement et à promouvoir un modèle d'affaires plus durable."
82,Comment Bank of Africa assure-t-elle d'être un employeur responsable à l'écoute de ses collaborateurs ?,"Bank of Africa s'efforce d'être un employeur responsable en étant à l'écoute de ses collaborateurs et en les accompagnant dans leur développement. Pour cela, Bank of Africa met en place des mesures telles que la gestion des carrières et formations, l'accompagnement des transformations et mobilités, ainsi que la santé, la sécurité et la qualité de vie au travail. De plus, Bank of Africa favorise la diversité et l'égalité des chances entre les femmes et les hommes. Ces actions visent à créer un environnement de travail favorable et à soutenir le développement professionnel de ses collaborateurs.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Comment Bank of Africa assure-t-elle d'être un employeur responsable à l'écoute de ses collaborateurs ?
 ## Reponse : 
Bank of Africa s'efforce d'être un employeur responsable en étant à l'écoute de ses collaborateurs et en les accompagnant dans leur développement. Pour cela, Bank of Africa met en place des mesures telles que la gestion des carrières et formations, l'accompagnement des transformations et mobilités, ainsi que la santé, la sécurité et la qualité de vie au travail. De plus, Bank of Africa favorise la diversité et l'égalité des chances entre les femmes et les hommes. Ces actions visent à créer un environnement de travail favorable et à soutenir le développement professionnel de ses collaborateurs."
83,Quelles sont les mesures prises par Bank of Africa pour respecter l'éthique des affaires et les intérêts de ses clients ?,"Bank of Africa met en place plusieurs mesures pour respecter l'éthique des affaires et les intérêts de ses clients. Cela inclut la lutte contre la corruption, la fraude et les pratiques anti-compétitives, ainsi que la prévention du blanchiment d'argent et du financement des activités terroristes. De plus, Bank of Africa accorde une grande importance à la sécurité de l'information et à la protection des données personnelles de ses clients. Enfin, Bank of Africa s'engage à avoir des relations clients responsables et à prévenir le surendettement. Ces actions visent à garantir la confiance et la satisfaction de ses clients.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelles sont les mesures prises par Bank of Africa pour respecter l'éthique des affaires et les intérêts de ses clients ?
 ## Reponse : 
Bank of Africa met en place plusieurs mesures pour respecter l'éthique des affaires et les intérêts de ses clients. Cela inclut la lutte contre la corruption, la fraude et les pratiques anti-compétitives, ainsi que la prévention du blanchiment d'argent et du financement des activités terroristes. De plus, Bank of Africa accorde une grande importance à la sécurité de l'information et à la protection des données personnelles de ses clients. Enfin, Bank of Africa s'engage à avoir des relations clients responsables et à prévenir le surendettement. Ces actions visent à garantir la confiance et la satisfaction de ses clients."
84,Quelles sont les actions de Bank of Africa pour agir dans l'intérêt des communautés et soutenir le dialogue avec ses parties prenantes ?,"Bank of Africa prend plusieurs actions pour agir dans l'intérêt des communautés et soutenir le dialogue avec ses parties prenantes. Cela inclut le soutien à l'éducation, la microfinance et l'éducation financière, ainsi que la promotion de l'inclusion financière. De plus, Bank of Africa s'engage à respecter les droits de l'Homme et à avoir un dialogue ouvert avec ses parties prenantes. Ces actions visent à contribuer au développement des communautés et à renforcer les relations avec les parties prenantes.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelles sont les actions de Bank of Africa pour agir dans l'intérêt des communautés et soutenir le dialogue avec ses parties prenantes ?
 ## Reponse : 
Bank of Africa prend plusieurs actions pour agir dans l'intérêt des communautés et soutenir le dialogue avec ses parties prenantes. Cela inclut le soutien à l'éducation, la microfinance et l'éducation financière, ainsi que la promotion de l'inclusion financière. De plus, Bank of Africa s'engage à respecter les droits de l'Homme et à avoir un dialogue ouvert avec ses parties prenantes. Ces actions visent à contribuer au développement des communautés et à renforcer les relations avec les parties prenantes."
85,Quelle est la mission de la Fondation BMCE Bank ?,"La mission de la Fondation BMCE Bank est de promouvoir l'enseignement et de préserver l'environnement par le biais de l'éducation. Depuis sa création en 1995, la Fondation BMCE Bank éclaire les choix du Groupe en matière de développement humain et d'impact sur la Société.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la mission de la Fondation BMCE Bank ?
 ## Reponse : 
La mission de la Fondation BMCE Bank est de promouvoir l'enseignement et de préserver l'environnement par le biais de l'éducation. Depuis sa création en 1995, la Fondation BMCE Bank éclaire les choix du Groupe en matière de développement humain et d'impact sur la Société."
86,Quelles sont les actions de la Fondation BMCE Bank pour améliorer l'accès à l'éducation dans les communautés rurales ?,"La Fondation BMCE Bank agit pour l'amélioration de l'accès à l'éducation dans les communautés rurales à travers le Réseau Medersat.com. Ce réseau permet de scolariser chaque année plus de 12 000 élèves issus de milieux défavorisés au Maroc, sans compter le nombre d'enfants scolarisés dans les écoles en Afrique subsaharienne.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelles sont les actions de la Fondation BMCE Bank pour améliorer l'accès à l'éducation dans les communautés rurales ?
 ## Reponse : 
La Fondation BMCE Bank agit pour l'amélioration de l'accès à l'éducation dans les communautés rurales à travers le Réseau Medersat.com. Ce réseau permet de scolariser chaque année plus de 12 000 élèves issus de milieux défavorisés au Maroc, sans compter le nombre d'enfants scolarisés dans les écoles en Afrique subsaharienne."
87,Quel est le programme environnemental de la Fondation BMCE Bank ?,"Le programme environnemental de la Fondation BMCE Bank est le programme Éco-Écoles, mené en partenariat avec la Fondation Mohammed VI pour la Protection de l'Environnement. Ce programme prend en considération la construction des écoles en intégrant des composantes environnementales et constitue également un outil pédagogique pour sensibiliser les élèves à des notions de développement durable et les invite à adopter des comportements respectueux de l'environnement.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quel est le programme environnemental de la Fondation BMCE Bank ?
 ## Reponse : 
Le programme environnemental de la Fondation BMCE Bank est le programme Éco-Écoles, mené en partenariat avec la Fondation Mohammed VI pour la Protection de l'Environnement. Ce programme prend en considération la construction des écoles en intégrant des composantes environnementales et constitue également un outil pédagogique pour sensibiliser les élèves à des notions de développement durable et les invite à adopter des comportements respectueux de l'environnement."
88,Quels sont les prix et distinctions obtenus par la Fondation BMCE Bank pour son programme Medersat.com ?,"La Fondation BMCE Bank a obtenu le WISE Award de la Qatar Foundation au Sommet Mondial de l'Innovation en Éducation à Doha. Elle a également remporté le ""Dauphin d'or de la catégorie Education Corporate Media & TV Awards"" pour le documentaire ""L'école de la Palmeraie"" produit pour la Fondation BMCE Bank. De plus, la Présidente de la Fondation, Dr Leila Mezian Benjelloun, a reçu le Wissam Al Arch des mains de Sa Majesté le Roi Mohammed VI. Enfin, la Présidente a été décorée de l'insigne d'Officier de la Légion d'Honneur de la République Française.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les prix et distinctions obtenus par la Fondation BMCE Bank pour son programme Medersat.com ?
 ## Reponse : 
La Fondation BMCE Bank a obtenu le WISE Award de la Qatar Foundation au Sommet Mondial de l'Innovation en Éducation à Doha. Elle a également remporté le ""Dauphin d'or de la catégorie Education Corporate Media & TV Awards"" pour le documentaire ""L'école de la Palmeraie"" produit pour la Fondation BMCE Bank. De plus, la Présidente de la Fondation, Dr Leila Mezian Benjelloun, a reçu le Wissam Al Arch des mains de Sa Majesté le Roi Mohammed VI. Enfin, la Présidente a été décorée de l'insigne d'Officier de la Légion d'Honneur de la République Française."
89,Quels sont les enjeux prioritaires identifiés par BANK OF AFRICA dans sa démarche de dialogue avec les parties prenantes ?,"BANK OF AFRICA a instauré une culture de dialogue auprès de ses parties prenantes afin de recueillir constamment leurs attentes et d'explorer les différents mécanismes de réponse. Cette démarche permet de dresser une cartographie des enjeux et de définir leurs degrés de priorité et d'importance, de structurer ces enjeux et de guider les engagements RSE de BANK OF AFRICA à travers le temps. Les enjeux prioritaires identifiés par BANK OF AFRICA dans sa démarche de dialogue avec les parties prenantes sont déterminés en fonction de leur impact potentiel sur l'entreprise et de leur pertinence pour la création de valeur à long terme. Ces enjeux sont également utilisés pour anticiper les risques et les opportunités qui peuvent émerger, à moyen et long termes, et qui sont susceptibles d'avoir un impact sur BANK OF AFRICA, à différents niveaux de son modèle de création de valeur.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les enjeux prioritaires identifiés par BANK OF AFRICA dans sa démarche de dialogue avec les parties prenantes ?
 ## Reponse : 
BANK OF AFRICA a instauré une culture de dialogue auprès de ses parties prenantes afin de recueillir constamment leurs attentes et d'explorer les différents mécanismes de réponse. Cette démarche permet de dresser une cartographie des enjeux et de définir leurs degrés de priorité et d'importance, de structurer ces enjeux et de guider les engagements RSE de BANK OF AFRICA à travers le temps. Les enjeux prioritaires identifiés par BANK OF AFRICA dans sa démarche de dialogue avec les parties prenantes sont déterminés en fonction de leur impact potentiel sur l'entreprise et de leur pertinence pour la création de valeur à long terme. Ces enjeux sont également utilisés pour anticiper les risques et les opportunités qui peuvent émerger, à moyen et long termes, et qui sont susceptibles d'avoir un impact sur BANK OF AFRICA, à différents niveaux de son modèle de création de valeur."
90,Quels sont les enjeux de durabilité auxquels BANK OF AFRICA répond de manière proactive ?,BANK OF AFRICA répond de manière proactive à 13 enjeux parmi les 17 Objectifs de Développement Durable des Nations-Unies grâce à ses différentes actions et prises de position.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quels sont les enjeux de durabilité auxquels BANK OF AFRICA répond de manière proactive ?
 ## Reponse : 
BANK OF AFRICA répond de manière proactive à 13 enjeux parmi les 17 Objectifs de Développement Durable des Nations-Unies grâce à ses différentes actions et prises de position."
91,Quelle est la version du logotype qui sera utilisée pour toutes les prises de paroles dans des supports publicitaires français et anglais ?,La version du logotype qui sera utilisée pour toutes les prises de paroles dans des supports publicitaires français et anglais est celle présentée dans la grille technique de construction du logotype BANK OF AFRICA.,"voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelle est la version du logotype qui sera utilisée pour toutes les prises de paroles dans des supports publicitaires français et anglais ?
 ## Reponse : 
La version du logotype qui sera utilisée pour toutes les prises de paroles dans des supports publicitaires français et anglais est celle présentée dans la grille technique de construction du logotype BANK OF AFRICA."
92,Quelles sont les actions entreprises pour protéger l'environnement et limiter l'empreinte environnementale au niveau du groupe ?,"Les actions entreprises pour protéger l'environnement et limiter l'empreinte environnementale au niveau du groupe comprennent la réalisation d'un bilan carbone tous les 2 ans, la certification ISO 14 001 et le projet de certification ISO 50001, ainsi que la formation et la sensibilisation au développement durable.","voici une instruction . Assurez-vous de répondre de manière claire et formelle, mettant en avant les réalisations clés tout en respectant le ton et le style d'un rapport ESG. 
##Instruction :
Quelles sont les actions entreprises pour protéger l'environnement et limiter l'empreinte environnementale au niveau du groupe ?
 ## Reponse : 
Les actions entreprises pour protéger l'environnement et limiter l'empreinte environnementale au niveau du groupe comprennent la réalisation d'un bilan carbone tous les 2 ans, la certification ISO 14 001 et le projet de certification ISO 50001, ainsi que la formation et la sensibilisation au développement durable."
